symbol,0_ax,0_ay,0_az,0_gx,0_gy,0_gz,1_ax,1_ay,1_az,1_gx,1_gy,1_gz,2_ax,2_ay,2_az,2_gx,2_gy,2_gz,3_ax,3_ay,3_az,3_gx,3_gy,3_gz,4_ax,4_ay,4_az,4_gx,4_gy,4_gz,5_ax,5_ay,5_az,5_gx,5_gy,5_gz
0,2.047146797,-0.937976301,-9.724545479,-0.039991051,-0.038457789,0.100144051,-1.255822778,-2.755866528,-9.358812332,0.010381,-0.022154987,0.010911456,-1.106776118,-1.643703222,-7.952147484,-0.009228046,-0.123141304,0.145437896,-3.703420162,-3.063537121,-8.61956501,0.01264363,-0.025196843,-0.07016632,-1.331243992,-5.197478294,-8.09999752,0.095350005,-0.194592372,0.004161947,9.33905983,-1.428214073,-3.008467674,-0.010373891,-0.259622157,0.001528332
0,1.595218182,0.04489357,-10.06932831,-0.235203728,0.019600006,0.052872222,-2.184221745,-2.551750422,-9.25825119,-0.046877835,-0.155581385,0.066306047,-2.130948067,-2.047146797,-7.76000309,-0.106168583,-0.202904195,0.183654845,-4.574355602,-2.776816845,-8.228692055,-0.112127364,-0.047035094,0.030902181,-2.715162992,-4.921532154,-7.853980541,-0.009313816,-0.059035402,0.068211943,8.984101295,-0.596186578,-3.683068514,-0.003316407,-0.010879125,-0.023372602
0,2.033977985,0.629707158,-9.742503166,0.032181714,-0.051773798,-0.006650334,-2.75107789,-1.569479227,-9.27261734,0.016506363,0.024184721,0.006517174,-2.415872574,-1.232478142,-7.697152138,-0.003901643,-0.010088397,0.013209944,-5.13821888,-2.742099285,-8.107778549,-0.003868221,-0.043173455,-0.017967569,-2.709177256,-4.898187637,-7.898873806,-0.008248536,0.01287104,0.00962151,9.088852882,-0.903258622,-3.674688339,-0.035674307,-0.00115844,-0.004463871
0,2.098026037,0.439358413,-9.549759865,0.028053751,0.052357387,0.08150164,-3.013256311,-1.868769646,-9.295363426,-0.000404967,0.059871621,0.082817897,-2.268621683,-1.371947527,-7.755214691,-0.080335528,-0.03019557,0.052225847,-4.855089664,-2.460766077,-8.023378372,-0.028369674,-0.001627508,0.11519251,-2.803753138,-4.844315529,-7.84141016,-0.004653214,-0.014027297,0.028130762,8.950580597,-0.759000599,-3.815354824,-0.022358298,-0.014208128,-0.008724994
0,2.386542082,0.421400964,-9.584477425,0.039372358,0.015072563,0.010394156,-2.62118578,-1.500642419,-9.439023018,0.013177361,0.072921306,0.024493786,-2.217742443,-1.257618546,-7.727081299,-0.005765884,0.108157754,0.087646425,-4.783858776,-2.47094202,-8.104785919,0.018502673,0.111958042,0.073646568,-2.697205544,-4.684494495,-7.950351715,0.026772564,0.017132163,0.041446768,9.064311028,-0.730867326,-3.684864283,-0.063371606,0.036126383,0.028559828
0,2.787591457,0.29689613,-9.433036804,0.015669864,-0.013157374,0.123313904,-2.268621683,-1.447368622,-9.524620056,0.018903244,0.047620893,0.090408027,-1.733490348,-1.164239883,-7.880916595,0.024727773,0.06914185,0.023729591,-4.732380867,-2.485307932,-8.338830948,0.016904753,0.065218851,0.026907377,-2.4050982,-4.824562073,-8.080842972,0.057133064,0.217804402,-0.014214144,9.181034088,-0.978679836,-3.502296925,-0.04020175,0.086727209,0.018972304
0,2.4883008,-0.222672105,-9.590463638,0.204624012,-0.203309968,0.016652679,-2.006443262,-1.456946015,-9.730531693,-0.029567024,0.054678377,-0.064590305,-2.220735312,-0.794915497,-7.930000305,-0.030267339,-0.054297544,-0.05843018,-4.868857384,-2.739704847,-8.359781265,-0.00346874,0.041250039,-0.054586589,-2.09144187,-4.886814594,-7.991055489,0.010660196,-0.001909729,0.019874837,9.209766388,-0.718297124,-3.404129744,-0.02475518,-0.043902826,-0.00313227
0,2.275804758,-0.469886035,-9.496486664,-0.047980655,-0.069484085,0.112661101,-2.327881336,-1.231879592,-9.725743294,0.007318318,0.036834929,0.046598356,-1.873558283,-0.676995039,-7.833030224,0.079589725,0.03412075,-0.018082675,-4.304994106,-3.089276075,-8.315485954,0.072166182,0.137391612,-0.481231481,-1.998661757,-5.93133831,-7.874930859,0.106135972,0.202491,-1.23475945,9.509057045,-1.525184155,-2.242882729,1.106972337,0.60498625,-0.03549017
0,1.088818669,-3.011460543,-8.838047028,1.015036225,-0.636080205,-0.552473485,0.465097368,-1.735884666,-9.442015648,0.230627775,0.11952734,-0.754226387,1.085825801,-2.706783056,-7.918627262,0.227530569,-0.185992867,-0.072678305,-1.939402223,-5.090930939,-8.732697487,0.057784896,-0.088847362,0.432646155,0.493230671,-5.317792892,-7.622928143,0.023976203,0.071061991,0.451047182,9.604829788,-2.344043016,-1.336631179,-0.615053833,-0.281060934,0.044805359
0,0.158025369,-3.372405052,-8.79973793,-0.314433962,0.191110194,0.135165155,-1.170824289,-2.892343044,-9.661096573,0.053791188,-0.123489812,-0.444629163,0.908047259,-0.222672105,-9.729334831,0.590658128,-0.128467709,0.512293935,-6.565834045,-5.672152996,-9.131352425,0.700415432,1.656615019,1.396991491,0.735655963,-5.773313046,-7.757608891,0.164859563,0.157616049,2.09970212,7.986266613,-3.215576649,-2.411682606,-0.315843105,-0.243110299,0.34055391
